.9236,0.0037
0.2395,-0.9377,-0.0015
0.2451,-0.9470,-0.0100
0.2605,-0.9629,-0.0144
0.2686,-0.9680,-0.0222
0.2722,-0.9734,-0.0222
0.2749,-0.9805,-0.0200
0.2800,-0.9841,-0.0203
0.2886,-0.9861,-0.0239
0.2922,-0.9878,-0.0281
0.2900,-0.9890,-0.0264
0.2856,-0.9919,-0.0251
0.2747,-0.9927,-0.0256
0.2625,-0.9910,-0.0271
0.2532,-0.9900,-0.0293
0.2468,-0.9893,-0.0298
0.2441,-0.9856,-0.0266
0.2415,-0.9797,-0.0242
0.2371,-0.9746,-0.0229
0.2310,-0.9719,-0.0212
0.2275,-0.9675,-0.0222
0.2280,-0.9578,-0.0271
0.2266,-0.9524,-0.0271
0.2244,-0.9539,-0.0234
0.2263,-0.9556,-0.0217
0.2314,-0.9600,-0.0193
0.2393,-0.9629,-0.0178
0.2446,-0.9666,-0.0161
0.2429,-0.9739,-0.0164
0.2400,-0.9751,-0.0156
0.2410,-0.9685,-0.0159
0.2434,-0.9600,-0.0159
0.2449,-0.9543,-0.0127
0.2476,-0.9553,-0.0100
0.2505,-0.9639,-0.0098
0.2546,-0.9753,-0.0093
0.2600,-0.9797,-0.0090
0.2595,-0.9780,-0.0063
0.2537,-0.9739,-0.0007
0.2488,-0.9651,0.0012
0.2466,-0.9592,0.0010
0.2463,-0.9573,-0.0029
0.2446,-0.9556,-0.0076
0.2434,-0.9570,-0.0105
0.2427,-0.9609,-0.0127
0.2419,-0.9631,-0.0107
0.2417,-0.9644,-0.0083
0.2395,-0.9663,-0.0073
0.2402,-0.9670,-0.0076
0.2432,-0.9653,-0.0117
0.2434,-0.9658,-0.0156
0.2429,-0.9690,-0.0161
0.2437,-0.9727,-0.0217
0.2478,-0.9849,-0.0635
0.2576,-1.0105,-0.1128
0.2725,-1.0591,-0.1479
0.2981,-1.1226,-0.1606
0.3213,-1.1836,-0.1406
0.3257,-1.2141,-0.0972
0.3098,-1.1838,-0.0508
0.2766,-1.0925,-0.0210
0.2378,-0.9817,-0.0154
0.2063,-0.8838,-0.0215
0.1868,-0.8030,-0.0320
0.1738,-0.7500,-0.0542
0.1660,-0.7219,-0.0791
0.1653,-0.7056,-0.0920
0.1738,-0.7170,-0.0920
0.1899,-0.7529,-0.0854
0.2039,-0.7915,-0.0691
0.2061,-0.8059,-0.0405
0.1960,-0.7969,-0.0208
0.1826,-0.7681,-0.0161
0.1743,-0.7349,-0.0200
0.1736,-0.7227,-0.0317
0.1868,-0.7280,-0.0491
0.2253,-0.7822,-0.0776
0.2747,-0.9141,-0.0974
0.3108,-1.1047,-0.0840
0.3386,-1.2781,-0.0525
0.3616,-1.3735,-0.0120
0.3701,-1.3853,0.0374
0.3579,-1.3308,0.0720
0.3345,-1.2515,0.0769
0.3169,-1.1836,0.0620
0.3010,-1.1394,0.0420
0.2854,-1.1074,0.0198
0.2725,-1.0737,-0.0051
0.2542,-1.0405,-0.0222
0.2356,-1.0085,-0.0371
0.2229,-0.9717,-0.0474
0.2148,-0.9314,-0.0515
0.2131,-0.9009,-0.0632
0.2095,-0.8845,-0.0742
0.2092,-0.8752,-0.0771
0.2144,-0.8682,-0.0757
0.2144,-0.8604,-0.0740
0.2107,-0.8538,-0.0784
0.2090,-0.8528,-0.0793
0.2095,-0.8628,-0.0750
0.2139,-0.8826,-0.0747
0.2197,-0.9087,-0.0715
0.2292,-0.9382,-0.0566
0.2307,-0.9448,-0.0515
0.2322,-0.9497,-0.0505
0.2366,-0.9551,-0.0505
0.2388,-0.9639,-0.0530
0.2410,-0.9746,-0.0527
0.2446,-0.9827,-0.0532
0.2471,-0.9895,-0.0540
0.2485,-0.9959,-0.0527
0.2502,-0.9995,-0.0476
0.2544,-1.0027,-0.0413
0.2576,-1.0010,-0.0371
0.2556,-0.9973,-0.0366
0.2551,-0.9937,-0.0396
0.2595,-0.9885,-0.0391
0.2583,-0.9858,-0.0364
0.2524,-0.9846,-0.0327
0.2490,-0.9790,-0.0330
0.2424,-0.9709,-0.0344
0.2317,-0.9683,-0.0376
0.2253,-0.9668,-0.0417
0.2239,-0.9619,-0.0417
0.2244,-0.9565,-0.0417
0.2271,-0.9519,-0.0413
0.2246,-0.9507,-0.0422
0.2183,-0.9512,-0.0425
0.2202,-0.9473,-0.0427
0.2261,-0.9409,-0.0403
0.2275,-0.9382,-0.0361
0.2261,-0.9434,-0.0342
0.2310,-0.9480,-0.0386
0.2385,-0.9490,-0.0417
0.2361,-0.9553,-0.0381
0.2363,-0.9626,-0.0354
0.2388,-0.9658,-0.0320
0.2385,-0.9683,-0.0310
0.2400,-0.9719,-0.0349
0.2375,-0.9746,-0.0374
0.2361,-0.9736,-0.0381
0.2388,-0.9692,-0.0356
0.2429,-0.9651,-0.0339
0.2495,-0.9629,-0.0374
0.2517,-0.9678,-0.0398
0.2500,-0.9758,-0.0381
0.2510,-0.9827,-0.0374
0.2546,-0.9856,-0.0352
0.2551,-0.9844,-0.0310
0.2534,-0.9800,-0.0276
0.2542,-0.9771,-0.0239
0.2456,-0.9719,-0.0334
0.2419,-0.9668,-0.0378
0.2380,-0.9626,-0.0378
0.2385,-0.9592,-0.0310
0.2419,-0.9570,-0.0269
0.2456,-0.9575,-0.0261
0.2476,-0.9626,-0.0249
0.2490,-0.9690,-0.0220
0.2493,-0.9697,-0.0198
0.2456,-0.9666,-0.0217
0.2444,-0.9573,-0.0232
0.2451,-0.9485,-0.0212
0.2468,-0.9468,-0.0212
0.2507,-0.9485,-0.0249
0.2524,-0.9480,-0.0327
0.2549,-0.9480,-0.0376
0.2559,-0.9543,-0.0344
0.2563,-0.9624,-0.0315
0.2578,-0.9675,-0.0310
0.2549,-0.9678,-0.0276
0.2495,-0.9641,-0.0234
0.2432,-0.9646,-0.0266
0.2358,-0.9697,-0.0320
0.2339,-0.9736,-0.0330
0.2354,-0.9717,-0.0298
0.2363,-0.9663,-0.0273
0.2390,-0.9641,-0.0303
0.2410,-0.9661,-0.0330
0.2407,-0.9729,-0.0349
0.2388,-0.9749,-0.0371
0.2351,-0.9753,-0.0364
0.2336,-0.9783,-0.0352
0.2324,-0.9783,-0.0354
0.2285,-0.9744,-0.0417
0.2253,-0.9719,-0.0459
0.2236,-0.9719,-0.0481
0.2222,-0.9680,-0.0508
0.2229,-0.9636,-0.0464
0.2278,-0.9600,-0.0427
0.2341,-0.9580,-0.0444
0.2390,-0.9592,-0.0471
0.2439,-0.9619,-0.0466
0.2439,-0.9653,-0.0461
0.2395,-0.9648,-0.0481
0.2368,-0.9648,-0.0461
0.2361,-0.9690,-0.0459
0.2397,-0.9692,-0.0510
0.2422,-0.9683,-0.0544
0.2397,-0.9688,-0.0552
0.2427,-0.9639,-0.0530
0.2427,-0.9690,-0.0508
0.2415,-0.9724,-0.0508
0.2434,-0.9731,-0.0498
0.2434,-0.9746,-0.0483
0.2427,-0.9734,-0.0476
0.2400,-0.9700,-0.0479
0.2366,-0.9658,-0.0469
0.2334,-0.9661,-0.0447
0.2312,-0.9678,-0.0420
0.2310,-0.9658,-0.0400
0.2317,-0.9663,-0.0398
0.2341,-0.9722,-0.0413
0.2354,-0.9744,-0.0432
0.2334,-0.9719,-0.0427
0.2307,-0.9714,-0.0364
0.2327,-0.9695,-0.0349
0.2354,-0.9668,-0.0388
0.2327,-0.9661,-0.0349
0.2288,-0.9663,-0.0349
0.2268,-0.9663,-0.0420
0.2288,-0.9666,-0.0444
0.2334,-0.9661,-0.0405
0.2307,-0.9670,-0.0364
0.2236,-0.9700,-0.0344
0.2217,-0.9680,-0.0364
0.2227,-0.9639,-0.0388
0.2234,-0.9602,-0.0405
0.2224,-0.9612,-0.0391
0.2217,-0.9663,-0.0396
0.2224,-0.9692,-0.0420
0.2246,-0.9709,-0.0393
0.2251,-0.9712,-0.0374
0.2219,-0.9731,-0.0366
0.2224,-0.9771,-0.0342
0.2244,-0.9785,-0.0332
0.2219,-0.9792,-0.0322
0.2183,-0.9795,-0.0293
0.2192,-0.9771,-0.0273
0.2231,-0.9729,-0.0278
0.2244,-0.9697,-0.0291
0.2217,-0.9668,-0.0313
0.2207,-0.9631,-0.0342
0.2219,-0.9602,-0.0334
0.2212,-0.9595,-0.0325
0.2214,-0.9626,-0.0327
0.2219,-0.9666,-0.0322
0.2239,-0.9685,-0.0332
0.2246,-0.9709,-0.0342
0.2214,-0.9768,-0.0325
0.2173,-0.9766,-0.0381
0.2151,-0.9712,-0.0417
0.2112,-0.9719,-0.0378
0.2100,-0.9722,-0.0408
0.2107,-0.9709,-0.0452
0.2134,-0.9712,-0.0410
